HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
2761,985,226,314,553,520,139,24,2022-11-17-22-44
2645,962,198,314,547,455,144,25,2022-11-17-22-57
2396,896,197,318,302,512,147,24,2022-11-17-23-06
2786,1004,194,318,519,579,147,25,2022-11-17-23-19
2649,977,187,316,425,570,148,26,2022-11-17-23-28
2783,1006,187,320,541,552,148,29,2022-11-17-23-40
2566,985,184,320,344,554,150,29,2022-11-17-23-49
2650,1005,182,321,423,543,148,28,2022-11-18-00-00
2800,1020,176,320,517,592,147,28,2022-11-18-00-38
2700,1009,173,322,551,472,144,29,2022-11-18-01-16
2534,945,176,322,340,584,143,24,2022-11-18-01-52
2664,988,182,321,428,566,148,31,2022-11-18-02-34
2804,1005,182,321,526,591,146,33,2022-11-18-03-16
2512,992,179,324,397,446,144,30,2022-11-18-03-53
2847,1014,177,324,566,596,144,26,2022-11-18-04-32
2691,1024,174,324,550,447,147,25,2022-11-18-05-10
2835,1024,172,322,548,593,148,28,2022-11-18-05-49
2558,974,173,322,325,584,147,33,2022-11-18-06-26
2554,985,174,314,458,442,148,33,2022-11-18-06-35
2785,1004,177,317,567,542,147,31,2022-11-18-06-46
2812,1010,181,320,567,559,143,32,2022-11-18-06-58
2577,1023,184,329,323,549,137,32,2022-11-18-07-08
2768,1018,187,338,534,522,137,32,2022-11-18-07-21
2658,997,206,375,493,430,125,32,2022-11-18-07-32
2404,936,253,406,289,369,118,33,2022-11-18-07-42
2567,855,458,433,462,227,100,32,2022-11-18-08-01
2465,706,699,516,333,97,81,33,2022-11-18-08-12
2528,628,850,508,353,84,71,34,2022-11-18-08-25
2475,615,877,473,352,55,70,33,2022-11-18-08-35
2605,545,1080,484,334,64,67,31,2022-11-18-08-47
2668,480,1169,529,321,79,57,33,2022-11-18-09-01
2589,483,1094,528,319,77,58,30,2022-11-18-09-12
2683,453,1230,541,293,85,52,29,2022-11-18-09-23
2750,453,1282,545,300,103,46,21,2022-11-18-09-37
2661,431,1268,526,275,96,48,17,2022-11-18-09-50
2622,406,1289,533,253,81,51,9,2022-11-18-10-01
2545,403,1220,539,253,68,54,8,2022-11-18-10-11
2684,449,1316,541,249,63,57,9,2022-11-18-10-23
2721,476,1302,555,251,72,56,9,2022-11-18-10-34
2751,482,1295,568,251,87,60,8,2022-11-18-10-46
2791,494,1252,566,277,128,65,9,2022-11-18-10-58
2754,507,1216,532,276,141,72,10,2022-11-18-11-08
2713,552,1098,470,272,234,76,11,2022-11-18-11-22
2599,717,730,452,314,303,72,11,2022-11-18-11-35
2695,818,628,441,358,366,73,11,2022-11-18-11-46
2713,866,598,390,387,383,76,13,2022-11-18-11-57
2718,857,573,382,404,404,85,13,2022-11-18-12-09
2720,874,535,385,417,408,88,13,2022-11-18-12-18
2791,876,527,386,439,459,91,13,2022-11-18-12-30
2817,880,521,418,431,456,98,13,2022-11-18-12-43
2665,820,546,462,342,385,95,15,2022-11-18-12-53
2593,767,586,497,336,300,93,14,2022-11-18-13-04
2484,640,753,504,312,172,90,13,2022-11-18-13-17
2452,490,1031,555,250,38,80,8,2022-11-18-13-27
2518,431,1210,554,206,29,80,8,2022-11-18-13-37
2593,400,1298,557,209,38,82,9,2022-11-18-13-47
2593,381,1379,550,184,35,55,9,2022-11-18-14-10
2398,403,1176,540,184,32,54,9,2022-11-18-14-18
2475,414,1221,570,174,32,55,9,2022-11-18-14-27
2455,400,1237,552,151,49,57,9,2022-11-18-14-36
